"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2019,201901,"January 2019",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,2565,NA,4513,NA,NA,0
"HS",2019,201902,"February 2019",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,13525,NA,6784,NA,NA,0
"HS",2019,201903,"March 2019",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,15388,NA,20774,NA,NA,0
"HS",2019,201904,"April 2019",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,8002,NA,11986,NA,NA,0
"HS",2019,201905,"May 2019",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,42,NA,1157,NA,NA,0
"HS",2019,201910,"October 2019",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,15,NA,1305,NA,NA,0
"HS",2019,201911,"November 2019",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,6850,NA,9590,NA,NA,0
"HS",2019,201912,"December 2019",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,16090,NA,23216,NA,NA,0
"HS",2019,201901,"January 2019",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,27,NA,17,NA,NA,0
"HS",2019,201902,"February 2019",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,5830,NA,805,NA,NA,0
"HS",2019,201903,"March 2019",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,10,NA,319,NA,NA,0
"HS",2019,201904,"April 2019",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,870,NA,133,NA,NA,0
"HS",2019,201906,"June 2019",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,1983,NA,2558,NA,NA,0
"HS",2019,201910,"October 2019",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,14,NA,35,NA,NA,0
"HS",2019,201912,"December 2019",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,20,NA,2954,NA,NA,0
"HS",2019,201912,"December 2019",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,3,NA,200,NA,NA,0
"HS",2019,201912,"December 2019",4,0,1,"Imports",191,"Croatia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,20,NA,2945,NA,NA,0
"HS",2019,201903,"March 2019",4,0,1,"Imports",392,"Japan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,1,NA,1861,NA,NA,0
"HS",2019,201901,"January 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,80,NA,519,NA,NA,0
"HS",2019,201902,"February 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,28730,NA,4613,NA,NA,0
"HS",2019,201903,"March 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,235,NA,1263,NA,NA,0
"HS",2019,201904,"April 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,357,NA,4470,NA,NA,0
"HS",2019,201905,"May 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,28871,NA,25546,NA,NA,0
"HS",2019,201906,"June 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,112,NA,6520,NA,NA,0
"HS",2019,201907,"July 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,693,NA,5821,NA,NA,0
"HS",2019,201909,"September 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,10629,NA,4766,NA,NA,0
"HS",2019,201910,"October 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,600,NA,1178,NA,NA,0
"HS",2019,201911,"November 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,182,NA,504,NA,NA,0
"HS",2019,201912,"December 2019",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,3000,NA,1445,NA,NA,0
