"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2018,201801,"January 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,2259,NA,3906,NA,NA,0
"HS",2018,201802,"February 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,2132,NA,3670,NA,NA,0
"HS",2018,201803,"March 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,2214,NA,21274,NA,NA,0
"HS",2018,201804,"April 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,2242,NA,6449,NA,NA,0
"HS",2018,201805,"May 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,13,NA,896,NA,NA,0
"HS",2018,201806,"June 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,14,NA,809,NA,NA,0
"HS",2018,201809,"September 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,4,NA,995,NA,NA,0
"HS",2018,201811,"November 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,5155,NA,18234,NA,NA,0
"HS",2018,201812,"December 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,6440,NA,22772,NA,NA,0
"HS",2018,201801,"January 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,2000,NA,399,NA,NA,0
"HS",2018,201803,"March 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,800,NA,157,NA,NA,0
"HS",2018,201806,"June 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,2869,NA,2037,NA,NA,0
"HS",2018,201811,"November 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,1280,NA,290,NA,NA,0
"HS",2018,201812,"December 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,1200,NA,135,NA,NA,0
"HS",2018,201803,"March 2018",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,10,NA,100,NA,NA,0
"HS",2018,201807,"July 2018",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,1000,NA,12700,NA,NA,0
"HS",2018,201801,"January 2018",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,2000,NA,99790,NA,NA,0
"HS",2018,201802,"February 2018",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,36,NA,126,NA,NA,0
"HS",2018,201803,"March 2018",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,15008,NA,55404,NA,NA,0
"HS",2018,201804,"April 2018",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,301,"Fish; live",NA,NA,NA,NA,NA,NA,130,NA,316,NA,NA,0
